G:\Resgrid\BigBoard\__mocks__\runtime\@notifee\react-native.ts: line 60, col 21, Warning - Replace `┬╖(_observer:┬╖(event:┬╖unknown)┬╖=>┬╖void):┬╖(()┬╖=>┬╖void)┬╖=>` with `ΓÉìΓÅÄ┬╖┬╖┬╖┬╖(_observer:┬╖(event:┬╖unknown)┬╖=>┬╖void):┬╖(()┬╖=>┬╖void)┬╖=>ΓÉìΓÅÄ┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 18, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 26, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 29, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 33, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 36, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 40, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 44, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\__mocks__\runtime\react-native-callkeep.ts: line 50, col 1, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 7, col 3, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 8, col 5, Warning - Delete `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 9, col 1, Warning - Replace `┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖` with `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 10, col 1, Warning - Delete `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 11, col 1, Warning - Delete `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 12, col 5, Warning - Delete `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 13, col 1, Warning - Replace `┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖` with `┬╖┬╖┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 13, col 32, Error - '__dirname' is not defined. (no-undef)
G:\Resgrid\BigBoard\electron\main.js: line 14, col 7, Warning - Delete `┬╖┬╖┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 15, col 1, Warning - Replace `┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖` with `┬╖┬╖┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 16, col 5, Warning - Delete `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 17, col 1, Warning - Replace `┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖` with `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 17, col 25, Error - '__dirname' is not defined. (no-undef)
G:\Resgrid\BigBoard\electron\main.js: line 18, col 5, Warning - Delete `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 19, col 1, Warning - Replace `┬╖┬╖┬╖┬╖┬╖┬╖┬╖┬╖` with `┬╖┬╖┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 20, col 3, Warning - Delete `┬╖┬╖` (prettier/prettier)
G:\Resgrid\BigBoard\electron\main.js: line 22, col 1, Warning - Replace `┬╖┬╖┬╖┬╖` with `┬╖┬╖` (prettier/prettier)
